cases.0.samples.0.portions.0.analytes.0.aliquots.0.aliquot_id	data_type	cases.0.samples.0.sample_type	file_name	cases.0.samples.0.submitter_id	cases.0.samples.0.tissue_type	cases.0.samples.0.tumor_descriptor	file_id	data_category	cases.0.submitter_id	cases.0.samples.0.sample_id	cases.0.case_id	id	cases.0.samples.0.portions.0.analytes.0.aliquots.0.submitter_id
4aaff894-0a42-4b20-9290-759a34e6f248	miRNA Expression Quantification	Primary Tumor	9a2956fd-6985-4ed9-96a5-e04a3ed3acbb.mirbase21.mirnas.quantification.txt	TCGA-68-A59I-01A			0e22d215-92c2-435c-ad89-ee344ef88635	Transcriptome Profiling	TCGA-68-A59I	8856291a-fef5-4008-b6cc-636aa8975905	0f8a76a1-4c3e-42e1-9df3-95aa3ae8e676	0e22d215-92c2-435c-ad89-ee344ef88635	TCGA-68-A59I-01A-11H-A263-13
f4a61521-e301-4b9a-8958-e483136011d1	miRNA Expression Quantification	Primary Tumor	95532a5a-df6a-438a-a26d-7c4a1c241c9f.mirbase21.mirnas.quantification.txt	TCGA-22-5479-01A			50efcf8f-1e01-4f71-b9e4-f8491eb3c736	Transcriptome Profiling	TCGA-22-5479	63157691-5ad8-4440-be22-c01a2614c9d0	fadd20a1-90ca-4d99-a128-9730d02a7bd6	50efcf8f-1e01-4f71-b9e4-f8491eb3c736	TCGA-22-5479-01A-31H-1948-13
874c3ea2-4ea4-467d-8c31-49ec735bd4f2	miRNA Expression Quantification	Primary Tumor	8051f857-9875-427f-a757-4091db3c591a.mirbase21.mirnas.quantification.txt	TCGA-43-6771-01A			bb2acdaa-3a26-421a-a9e9-4ea3336a467b	Transcriptome Profiling	TCGA-43-6771	12b448e3-2d58-4e68-92e1-dd484742cd99	b0818bee-c32c-405c-ba09-956091fbe09b	bb2acdaa-3a26-421a-a9e9-4ea3336a467b	TCGA-43-6771-01A-11H-1819-13
ad9ebe65-3dce-4b52-909c-99b07343d814	miRNA Expression Quantification	Primary Tumor	7ae1a03b-cca0-4ad6-92b8-096e247c1b50.mirbase21.mirnas.quantification.txt	TCGA-37-4141-01A			be8861c3-48b9-4cb7-a9a5-d4e18449d3ce	Transcriptome Profiling	TCGA-37-4141	bc1b8610-9e9d-4fbf-9698-82ceca1e935f	5d3d3918-7da8-4147-90a3-dc015be1dfbe	be8861c3-48b9-4cb7-a9a5-d4e18449d3ce	TCGA-37-4141-01A-02T-1557-13
4eededac-03b6-4072-b518-b6760da4e656	miRNA Expression Quantification	Primary Tumor	37be9876-e459-48e9-b9ba-b47d02c17ae7.mirbase21.mirnas.quantification.txt	TCGA-NC-A5HH-01A			0435e383-6ec2-46c4-ba15-713a2447b0d1	Transcriptome Profiling	TCGA-NC-A5HH	3ac19224-4535-4f04-bb3d-7de9025542c2	b5865f1e-604d-487d-8a19-dc0c887203ed	0435e383-6ec2-46c4-ba15-713a2447b0d1	TCGA-NC-A5HH-01A-11H-A26V-13
e15c3854-997c-4197-877f-99ac7695cb3a	miRNA Expression Quantification	Primary Tumor	69c2dd2f-9df4-4f79-9d18-577ad2d53dfd.mirbase21.mirnas.quantification.txt	TCGA-22-5478-01A			f7e9016d-2d0b-40d1-a330-09ae95684813	Transcriptome Profiling	TCGA-22-5478	9fc48d9d-cfb3-4c04-b918-878c05c57a35	4daf4a91-bc36-40c8-8fca-ea61b6706775	f7e9016d-2d0b-40d1-a330-09ae95684813	TCGA-22-5478-01A-01T-1634-13
e824558d-7170-43a3-b483-e9fb02d9cf16	miRNA Expression Quantification	Primary Tumor	7df584d3-5b11-4987-8227-6d809e8305af.mirbase21.mirnas.quantification.txt	TCGA-22-1011-01A			07fa22d0-99b1-4364-9b93-d937005a2416	Transcriptome Profiling	TCGA-22-1011	ad8d4ef5-5c51-4342-983d-ef912fda745a	18058bfb-a008-410f-8e04-7c2b45a856b7	07fa22d0-99b1-4364-9b93-d937005a2416	TCGA-22-1011-01A-01T-1557-13
72dfa6c6-7b62-4345-8e93-359412784ca4	miRNA Expression Quantification	Solid Tissue Normal	36ff000c-51b2-4e3d-9300-4c536d0ae141.mirbase21.mirnas.quantification.txt	TCGA-CV-7235-11A			d6e60c88-6acc-45a0-abe8-e8bcbfccf369	Transcriptome Profiling	TCGA-CV-7235	95eb64ca-ae28-44bc-bc11-f0b145a4e0ef	2fbafcc5-896c-4e50-8956-a61540fc89be	d6e60c88-6acc-45a0-abe8-e8bcbfccf369	TCGA-CV-7235-11A-01R-2015-13
10c00b77-fbcb-4709-8db6-0f491e07fd1a	miRNA Expression Quantification	Primary Tumor	cb606a2b-3c67-44c8-866a-2422e7ac369f.mirbase21.mirnas.quantification.txt	TCGA-CV-6934-01A			2c5eacad-0a4f-43e6-ad8f-dae2ffe4b0c6	Transcriptome Profiling	TCGA-CV-6934	7bf29fd5-11aa-470e-af8b-81e3db80e8d5	4f5bc340-bdb5-418a-b3c4-96ac85e08b34	2c5eacad-0a4f-43e6-ad8f-dae2ffe4b0c6	TCGA-CV-6934-01A-11R-1914-13
4e9c40e8-26ca-47e3-bfa9-17bea21694a7	miRNA Expression Quantification	Primary Tumor	1f39d8bd-9c1f-4dcf-9de0-62e3966b014f.mirbase21.mirnas.quantification.txt	TCGA-CV-7423-01A			5f06f29b-ddc7-43ae-a2d0-7df4349f1507	Transcriptome Profiling	TCGA-CV-7423	ed42e6f5-9894-49f5-a2a9-e12a9f342ce5	f3a626e4-2d93-4d13-a34c-de0e0c6118ac	5f06f29b-ddc7-43ae-a2d0-7df4349f1507	TCGA-CV-7423-01A-11R-2080-13
